Racomitrium sudeticum
Ranunculus acris
Ranunculus bulbosus
Ranunculus flammula
Ranunculus repens
Rhinanthus minor
Rhizomnium punctatum
Rhynchostegium confertum
Rhytidiadelphus loreus
Rhytidiadelphus squarrosus
Rhytidiadelphus triquetrus
Riccardia chamedryfolia
Riccardia multifida
Riccardia species
Rosa spinosissima
Rubus fruticosus ag.
Rumex acetosa
Rumex crispus
Salix aurita
Salix cinerea s. cinerea
Salix repens
Sanguisorba minor
Sanguisorba officinalis
Scapania aspera
Scapania gracilis
Schoenus nigricans
Scleropodium purum
Scutellaria galericulata
Selaginella selaginoides
Senecio aquaticus
Senecio jacobaea
Sesleria caerulea
Solidago virgaurea
Sonchus asper
Sphagnum capillifolium
Sphagnum denticulatum
Sphagnum fallax s. fallax
Sphagnum inundatum
Stellaria graminea
Stellaria media
Stellaria palustris
Stellaria species
Succisa pratensis
Taraxacum officinale ag.
Teucrium scorodonia
Thalictrum flavum.
Thuidium assimile
Thuidium delicatulum
Thuidium tamariscinum
Thymus polytrichus
Tortella nitida
Tortella tortuosa
Tragopogon pratensis
Trichostomum brachydontium
Trichostomum crispulum
Trifolium dubium
Trifolium pratense
Trifolium repens
Triglochin maritimum
Triglochin palustre
Trisetum flavescens
Ulex europaeus
Urtica dioica
Vaccinium myrtillus
Valeriana officinalis
Veronica chamaedrys
Veronica officinalis
Veronica scutellata
Vicia cracca
Vicia sativa
Vicia sepium
Vicia species
Viola palustris
Viola riviniana
Viola species
Weissia brachycarpa v. obliqua
Weissia species
