SPECIES_LU_VERSION; ISGS Species List
TERMS_AND_CONDITIONS; Free to use, cite original source
SPECIES_NR;NAME;GENUS;SPECIES;AUTHOR;SYNONYM;VALID_NR;VALID_NAME;SECUNDUM
290;Ditrichum cylindricum;Ditrichum;cylindricum;NA;FALSE;290;Ditrichum cylindricum;NA
291;Ditrichum gracile;Ditrichum;gracile;NA;FALSE;291;Ditrichum gracile;NA
292;Ditrichum heteromallum;Ditrichum;heteromallum;NA;FALSE;292;Ditrichum heteromallum;NA
293;Draba sp.;Draba;sp.;NA;FALSE;293;Draba sp.;NA
294;Drepanocladus aduncus;Drepanocladus;aduncus;NA;FALSE;294;Drepanocladus aduncus;NA
295;Drepanocladus cossonii;Drepanocladus;cossonii;NA;FALSE;295;Drepanocladus cossonii;NA
296;Drepanocladus polygamus;Drepanocladus;polygamus;NA;FALSE;296;Drepanocladus polygamus;NA
297;Drepanocladus revolvens;Drepanocladus;revolvens;NA;FALSE;297;Drepanocladus revolvens;NA
298;Dryas octopetala;Dryas;octopetala;NA;FALSE;298;Dryas octopetala;NA
299;Dryopteris carthusiana;Dryopteris;carthusiana;NA;FALSE;299;Dryopteris carthusiana;NA
300;Dryopteris dilatata;Dryopteris;dilatata;NA;FALSE;300;Dryopteris dilatata;NA
301;Dryopteris filix-mas;Dryopteris;filix-mas;NA;FALSE;301;Dryopteris filix-mas;NA
302;Dryopteris sp.;Dryopteris;sp.;NA;FALSE;302;Dryopteris sp.;NA
303;Eleocharis multicaulis;Eleocharis;multicaulis;NA;FALSE;303;Eleocharis multicaulis;NA
304;Eleocharis palustris;Eleocharis;palustris;NA;FALSE;304;Eleocharis palustris;NA
305;Eleocharis quinqueflora;Eleocharis;quinqueflora;NA;FALSE;305;Eleocharis quinqueflora;NA
306;Eleocharis sp.;Eleocharis;sp.;NA;FALSE;306;Eleocharis sp.;NA
307;Eleocharis uniglumis;Eleocharis;uniglumis;NA;FALSE;307;Eleocharis uniglumis;NA
308;Elytrigia juncea;Elytrigia;juncea;NA;FALSE;308;Elytrigia juncea;NA
309;Elytrigia repens;Elytrigia;repens;NA;FALSE;309;Elytrigia repens;NA
310;Empetrum nigrum;Empetrum;nigrum;NA;FALSE;310;Empetrum nigrum;NA
311;Encalypta streptocarpa;Encalypta;streptocarpa;NA;FALSE;311;Encalypta streptocarpa;NA
312;Entodon concinnus;Entodon;concinnus;NA;FALSE;312;Entodon concinnus;NA
313;Entosthodon attenuatus;Entosthodon;attenuatus;NA;FALSE;313;Entosthodon attenuatus;NA
314;Entosthodon obtusus;Entosthodon;obtusus;NA;FALSE;314;Entosthodon obtusus;NA
315;Ephemerum minutissimum;Ephemerum;minutissimum;NA;FALSE;315;Ephemerum minutissimum;NA
316;Epilobium brunnescens;Epilobium;brunnescens;NA;FALSE;316;Epilobium brunnescens;NA
317;Epilobium ciliatum;Epilobium;ciliatum;NA;FALSE;317;Epilobium ciliatum;NA
318;Epilobium hirsutum;Epilobium;hirsutum;NA;FALSE;318;Epilobium hirsutum;NA
319;Epilobium montanum;Epilobium;montanum;NA;FALSE;319;Epilobium montanum;NA
320;Epilobium obscurum;Epilobium;obscurum;NA;FALSE;320;Epilobium obscurum;NA
321;Epilobium palustre;Epilobium;palustre;NA;FALSE;321;Epilobium palustre;NA
322;Epilobium parviflorum;Epilobium;parviflorum;NA;FALSE;322;Epilobium parviflorum;NA
323;Epilobium sp.;Epilobium;sp.;NA;FALSE;323;Epilobium sp.;NA
324;Epipactis palustris;Epipactis;palustris;NA;FALSE;324;Epipactis palustris;NA
325;Epipactis sp.;Epipactis;sp.;NA;FALSE;325;Epipactis sp.;NA
326;Equisetum arvense;Equisetum;arvense;NA;FALSE;326;Equisetum arvense;NA
327;Equisetum fluviatile;Equisetum;fluviatile;NA;FALSE;327;Equisetum fluviatile;NA
328;Equisetum palustre;Equisetum;palustre;NA;FALSE;328;Equisetum palustre;NA
329;Equisetum sp.;Equisetum;sp.;NA;FALSE;329;Equisetum sp.;NA
330;Equisetum sylvaticum;Equisetum;sylvaticum;NA;FALSE;330;Equisetum sylvaticum;NA
331;Equisetum telmateia;Equisetum;telmateia;NA;FALSE;331;Equisetum telmateia;NA
332;Equisetum variegatum;Equisetum;variegatum;NA;FALSE;332;Equisetum variegatum;NA
333;Equisetum x;Equisetum;x;NA;FALSE;333;Equisetum x;NA
334;Erica cinerea;Erica;cinerea;NA;FALSE;334;Erica cinerea;NA
335;Erica tetralix;Erica;tetralix;NA;FALSE;335;Erica tetralix;NA
336;Eriophorum angustifolium;Eriophorum;angustifolium;NA;FALSE;336;Eriophorum angustifolium;NA
337;Eriophorum sp.;Eriophorum;sp.;NA;FALSE;337;Eriophorum sp.;NA
338;Eriophorum vaginatum;Eriophorum;vaginatum;NA;FALSE;338;Eriophorum vaginatum;NA
339;Erodium cicutarium;Erodium;cicutarium;NA;FALSE;339;Erodium cicutarium;NA
340;Erophila verna;Erophila;verna;NA;FALSE;340;Erophila verna;NA
341;Euonymus europaeus;Euonymus;europaeus;NA;FALSE;341;Euonymus europaeus;NA
342;Eupatorium cannabinum;Eupatorium;cannabinum;NA;FALSE;342;Eupatorium cannabinum;NA
343;Euphrasia anglica;Euphrasia;anglica;NA;FALSE;343;Euphrasia anglica;NA
344;Euphrasia arctica;Euphrasia;arctica;NA;FALSE;344;Euphrasia arctica;NA
345;Euphrasia confusa;Euphrasia;confusa;NA;FALSE;345;Euphrasia confusa;NA
346;Euphrasia micrantha;Euphrasia;micrantha;NA;FALSE;346;Euphrasia micrantha;NA
347;Euphrasia nemorosa;Euphrasia;nemorosa;NA;FALSE;347;Euphrasia nemorosa;NA
348;Euphrasia officinalis;Euphrasia;officinalis;NA;FALSE;348;Euphrasia officinalis;NA
349;Euphrasia rostkoviana;Euphrasia;rostkoviana;NA;FALSE;349;Euphrasia rostkoviana;NA
350;Euphrasia salisburgensis;Euphrasia;salisburgensis;NA;FALSE;350;Euphrasia salisburgensis;NA
351;Euphrasia tetraquetra;Euphrasia;tetraquetra;NA;FALSE;351;Euphrasia tetraquetra;NA
352;Eurhynchium hians;Eurhynchium;hians;NA;FALSE;352;Eurhynchium hians;NA
353;Eurhynchium sp.;Eurhynchium;sp.;NA;FALSE;353;Eurhynchium sp.;NA
354;Eurhynchium speciosum;Eurhynchium;speciosum;NA;FALSE;354;Eurhynchium speciosum;NA
355;Eurhynchium striatum;Eurhynchium;striatum;NA;FALSE;355;Eurhynchium striatum;NA
356;Fagus sylvatica;Fagus;sylvatica;NA;FALSE;356;Fagus sylvatica;NA
357;Festuca altissima;Festuca;altissima;NA;FALSE;357;Festuca altissima;NA
358;Festuca arundinacea;Festuca;arundinacea;NA;FALSE;358;Festuca arundinacea;NA
359;Festuca gigantea;Festuca;gigantea;NA;FALSE;359;Festuca gigantea;NA
360;Festuca ovina;Festuca;ovina;NA;FALSE;360;Festuca ovina;NA
361;Festuca pratensis;Festuca;pratensis;NA;FALSE;361;Festuca pratensis;NA
362;Festuca rubra;Festuca;rubra;NA;FALSE;362;Festuca rubra;NA
363;Festuca sp.;Festuca;sp.;NA;FALSE;363;Festuca sp.;NA
364;Festuca vivipara;Festuca;vivipara;NA;FALSE;364;Festuca vivipara;NA
365;Festulolium loliaceum;Festulolium;loliaceum;NA;FALSE;365;Festulolium loliaceum;NA
366;Filipendula ulmaria;Filipendula;ulmaria;NA;FALSE;366;Filipendula ulmaria;NA
367;Filipendula vulgaris;Filipendula;vulgaris;NA;FALSE;367;Filipendula vulgaris;NA
368;Fissidens adianthoides;Fissidens;adianthoides;NA;FALSE;368;Fissidens adianthoides;NA
369;Fissidens bryoides;Fissidens;bryoides;NA;FALSE;369;Fissidens bryoides;NA
370;Fissidens dubius;Fissidens;dubius;NA;FALSE;370;Fissidens dubius;NA
371;Fissidens exilis;Fissidens;exilis;NA;FALSE;371;Fissidens exilis;NA
372;Fissidens osmundoides;Fissidens;osmundoides;NA;FALSE;372;Fissidens osmundoides;NA
373;Fissidens sp.;Fissidens;sp.;NA;FALSE;373;Fissidens sp.;NA
374;Fissidens taxifolius;Fissidens;taxifolius;NA;FALSE;374;Fissidens taxifolius;NA
375;Fissidens viridulus;Fissidens;viridulus;NA;FALSE;375;Fissidens viridulus;NA
376;Fontinalis antipyretica;Fontinalis;antipyretica;NA;FALSE;376;Fontinalis antipyretica;NA
377;Fossombronia husnotii;Fossombronia;husnotii;NA;FALSE;377;Fossombronia husnotii;NA
378;Fossombronia sp.;Fossombronia;sp.;NA;FALSE;378;Fossombronia sp.;NA
379;Fragaria vesca;Fragaria;vesca;NA;FALSE;379;Fragaria vesca;NA
380;Fraxinus excelsior;Fraxinus;excelsior;NA;FALSE;380;Fraxinus excelsior;NA
381;Frullania dilatata;Frullania;dilatata;NA;FALSE;381;Frullania dilatata;NA
382;Frullania tamarisci;Frullania;tamarisci;NA;FALSE;382;Frullania tamarisci;NA
383;Fumaria sp.;Fumaria;sp.;NA;FALSE;383;Fumaria sp.;NA
384;Funaria hygrometrica;Funaria;hygrometrica;NA;FALSE;384;Funaria hygrometrica;NA
385;Galeopsis tetrahit;Galeopsis;tetrahit;NA;FALSE;385;Galeopsis tetrahit;NA
386;Galium aparine;Galium;aparine;NA;FALSE;386;Galium aparine;NA
387;Galium boreale;Galium;boreale;NA;FALSE;387;Galium boreale;NA
388;Galium palustre;Galium;palustre;NA;FALSE;388;Galium palustre;NA
389;Galium saxatile;Galium;saxatile;NA;FALSE;389;Galium saxatile;NA
390;Galium sp.;Galium;sp.;NA;FALSE;390;Galium sp.;NA
391;Galium sterneri;Galium;sterneri;NA;FALSE;391;Galium sterneri;NA
392;Galium uliginosum;Galium;uliginosum;NA;FALSE;392;Galium uliginosum;NA
393;Galium verum;Galium;verum;NA;FALSE;393;Galium verum;NA
394;Gentiana verna;Gentiana;verna;NA;FALSE;394;Gentiana verna;NA
395;Gentianella amarella;Gentianella;amarella;NA;FALSE;395;Gentianella amarella;NA
396;Gentianella campestris;Gentianella;campestris;NA;FALSE;396;Gentianella campestris;NA
397;Geranium dissectum;Geranium;dissectum;NA;FALSE;397;Geranium dissectum;NA
398;Geranium molle;Geranium;molle;NA;FALSE;398;Geranium molle;NA
399;Geranium sanguineum;Geranium;sanguineum;NA;FALSE;399;Geranium sanguineum;NA
400;Geranium sp.;Geranium;sp.;NA;FALSE;400;Geranium sp.;NA
401;Geum rivale;Geum;rivale;NA;FALSE;401;Geum rivale;NA
402;Glaux maritima;Glaux;maritima;NA;FALSE;402;Glaux maritima;NA
403;Glechoma hederacea;Glechoma;hederacea;NA;FALSE;403;Glechoma hederacea;NA
404;Glyceria declinata;Glyceria;declinata;NA;FALSE;404;Glyceria declinata;NA
405;Glyceria fluitans;Glyceria;fluitans;NA;FALSE;405;Glyceria fluitans;NA
406;Glyceria maxima;Glyceria;maxima;NA;FALSE;406;Glyceria maxima;NA
407;Glyceria notata;Glyceria;notata;NA;FALSE;407;Glyceria notata;NA
408;Glyceria sp.;Glyceria;sp.;NA;FALSE;408;Glyceria sp.;NA
409;Glyceria x;Glyceria;x;NA;FALSE;409;Glyceria x;NA
410;Gnaphalium uliginosum;Gnaphalium;uliginosum;NA;FALSE;410;Gnaphalium uliginosum;NA
411;Grimmia pulvinata;Grimmia;pulvinata;NA;FALSE;411;Grimmia pulvinata;NA
412;Gymnadenia conopsea;Gymnadenia;conopsea;NA;FALSE;412;Gymnadenia conopsea;NA
413;Gymnadenia conopsea s. conopsea;Gymnadenia;conopsea s. conopsea;NA;FALSE;413;Gymnadenia conopsea s. conopsea;NA
414;Gymnadenia conopsea s. densiflora;Gymnadenia;conopsea s. densiflora;NA;FALSE;414;Gymnadenia conopsea s. densiflora;NA
415;Gymnocolea inflata;Gymnocolea;inflata;NA;FALSE;415;Gymnocolea inflata;NA
416;Gymnomitrion crenulatum;Gymnomitrion;crenulatum;NA;FALSE;416;Gymnomitrion crenulatum;NA
417;Hamatocaulis vernicosus;Hamatocaulis;vernicosus;NA;FALSE;417;Hamatocaulis vernicosus;NA
418;Harpalejeunea molleri;Harpalejeunea;molleri;NA;FALSE;418;Harpalejeunea molleri;NA
419;Hedera helix;Hedera;helix;NA;FALSE;419;Hedera helix;NA
420;Helianthemum oelandicum s. piloselloides;Helianthemum;oelandicum s. piloselloides;NA;FALSE;420;Helianthemum oelandicum s. piloselloides;NA
421;Helictotrichon pubescens;Helictotrichon;pubescens;NA;FALSE;421;Helictotrichon pubescens;NA
422;Hennediella heimii;Hennediella;heimii;NA;FALSE;422;Hennediella heimii;NA
423;Heracleum sphondylium;Heracleum;sphondylium;NA;FALSE;423;Heracleum sphondylium;NA
424;Herbertus aduncus;Herbertus;aduncus;NA;FALSE;424;Herbertus aduncus;NA
425;Heterocladium heteropterum;Heterocladium;heteropterum;NA;FALSE;425;Heterocladium heteropterum;NA
426;Hieracium sp.;Hieracium;sp.;NA;FALSE;426;Hieracium sp.;NA
427;Hippuris vulgaris;Hippuris;vulgaris;NA;FALSE;427;Hippuris vulgaris;NA
428;Holcus lanatus;Holcus;lanatus;NA;FALSE;428;Holcus lanatus;NA
429;Holcus mollis;Holcus;mollis;NA;FALSE;429;Holcus mollis;NA
430;Homalothecium lutescens;Homalothecium;lutescens;NA;FALSE;430;Homalothecium lutescens;NA
431;Homalothecium sericeum;Homalothecium;sericeum;NA;FALSE;431;Homalothecium sericeum;NA
432;Homalothecium sp.;Homalothecium;sp.;NA;FALSE;432;Homalothecium sp.;NA
433;Hookeria lucens;Hookeria;lucens;NA;FALSE;433;Hookeria lucens;NA
434;Hordeum secalinum;Hordeum;secalinum;NA;FALSE;434;Hordeum secalinum;NA
435;Huperzia selago;Huperzia;selago;NA;FALSE;435;Huperzia selago;NA
436;Hyacinthoides non-scripta;Hyacinthoides;non-scripta;NA;FALSE;436;Hyacinthoides non-scripta;NA
437;Hydrocotyle vulgaris;Hydrocotyle;vulgaris;NA;FALSE;437;Hydrocotyle vulgaris;NA
438;Hylocomium brevirostre;Hylocomium;brevirostre;NA;FALSE;438;Hylocomium brevirostre;NA
439;Hylocomium splendens;Hylocomium;splendens;NA;FALSE;439;Hylocomium splendens;NA
440;Hymenophyllum wilsonii;Hymenophyllum;wilsonii;NA;FALSE;440;Hymenophyllum wilsonii;NA
441;Hyocomium armoricum;Hyocomium;armoricum;NA;FALSE;441;Hyocomium armoricum;NA
442;Hypericum elodes;Hypericum;elodes;NA;FALSE;442;Hypericum elodes;NA
443;Hypericum humifusum;Hypericum;humifusum;NA;FALSE;443;Hypericum humifusum;NA
444;Hypericum maculatum;Hypericum;maculatum;NA;FALSE;444;Hypericum maculatum;NA
445;Hypericum perforatum;Hypericum;perforatum;NA;FALSE;445;Hypericum perforatum;NA
446;Hypericum pulchrum;Hypericum;pulchrum;NA;FALSE;446;Hypericum pulchrum;NA
447;Hypericum sp.;Hypericum;sp.;NA;FALSE;447;Hypericum sp.;NA
448;Hypericum tetrapterum;Hypericum;tetrapterum;NA;FALSE;448;Hypericum tetrapterum;NA
449;Hypnum andoi;Hypnum;andoi;NA;FALSE;449;Hypnum andoi;NA
450;Hypnum cupressiforme;Hypnum;cupressiforme;NA;FALSE;450;Hypnum cupressiforme;NA
451;Hypnum jutlandicum;Hypnum;jutlandicum;NA;FALSE;451;Hypnum jutlandicum;NA
452;Hypnum lacunosum;Hypnum;lacunosum;NA;FALSE;452;Hypnum lacunosum;NA
453;Hypnum lindbergii;Hypnum;lindbergii;NA;FALSE;453;Hypnum lindbergii;NA
454;Hypnum resupinatum;Hypnum;resupinatum;NA;FALSE;454;Hypnum resupinatum;NA
455;Hypnum sp.;Hypnum;sp.;NA;FALSE;455;Hypnum sp.;NA
456;Hypochaeris radicata;Hypochaeris;radicata;NA;FALSE;456;Hypochaeris radicata;NA
457;Ilex aquifolium;Ilex;aquifolium;NA;FALSE;457;Ilex aquifolium;NA
458;Iris pseudacorus;Iris;pseudacorus;NA;FALSE;458;Iris pseudacorus;NA
459;Isolepis cernua;Isolepis;cernua;NA;FALSE;459;Isolepis cernua;NA
460;Isolepis setacea;Isolepis;setacea;NA;FALSE;460;Isolepis setacea;NA
461;Isolepis sp.;Isolepis;sp.;NA;FALSE;461;Isolepis sp.;NA
462;Isothecium alopecuroides;Isothecium;alopecuroides;NA;FALSE;462;Isothecium alopecuroides;NA
463;Isothecium myosuroides;Isothecium;myosuroides;NA;FALSE;463;Isothecium myosuroides;NA
464;Isothecium myosuroides;Isothecium;myosuroides;NA;FALSE;464;Isothecium myosuroides;NA
465;Jasione montana;Jasione;montana;NA;FALSE;465;Jasione montana;NA
466;Juncus acutiflorus;Juncus;acutiflorus;NA;FALSE;466;Juncus acutiflorus;NA
467;Juncus articulatus;Juncus;articulatus;NA;FALSE;467;Juncus articulatus;NA
468;Juncus bufonius;Juncus;bufonius;NA;FALSE;468;Juncus bufonius;NA
469;Juncus bulbosus;Juncus;bulbosus;NA;FALSE;469;Juncus bulbosus;NA
470;Juncus conglomeratus;Juncus;conglomeratus;NA;FALSE;470;Juncus conglomeratus;NA
471;Juncus effusus;Juncus;effusus;NA;FALSE;471;Juncus effusus;NA
472;Juncus gerardii;Juncus;gerardii;NA;FALSE;472;Juncus gerardii;NA
473;Juncus inflexus;Juncus;inflexus;NA;FALSE;473;Juncus inflexus;NA
474;Juncus maritimus;Juncus;maritimus;NA;FALSE;474;Juncus maritimus;NA
475;Juncus planifolius;Juncus;planifolius;NA;FALSE;475;Juncus planifolius;NA
476;Juncus sp.;Juncus;sp.;NA;FALSE;476;Juncus sp.;NA
477;Juncus squarrosus;Juncus;squarrosus;NA;FALSE;477;Juncus squarrosus;NA
478;Juncus subnodulosus;Juncus;subnodulosus;NA;FALSE;478;Juncus subnodulosus;NA
479;Juncus x;Juncus;x;NA;FALSE;479;Juncus x;NA
480;Jungermannia gracillima;Jungermannia;gracillima;NA;FALSE;480;Jungermannia gracillima;NA
481;Jungermannia hyalina;Jungermannia;hyalina;NA;FALSE;481;Jungermannia hyalina;NA
482;Jungermannia paroica;Jungermannia;paroica;NA;FALSE;482;Jungermannia paroica;NA
483;Jungermannia sp.;Jungermannia;sp.;NA;FALSE;483;Jungermannia sp.;NA
484;Juniperus communis;Juniperus;communis;NA;FALSE;484;Juniperus communis;NA
485;Juniperus communis s. communis;Juniperus;communis s. communis;NA;FALSE;485;Juniperus communis s. communis;NA
486;Kindbergia praelonga;Kindbergia;praelonga;NA;FALSE;486;Kindbergia praelonga;NA
487;Knautia arvensis;Knautia;arvensis;NA;FALSE;487;Knautia arvensis;NA
488;Koeleria macrantha;Koeleria;macrantha;NA;FALSE;488;Koeleria macrantha;NA
489;Lathyrus linifolius;Lathyrus;linifolius;NA;FALSE;489;Lathyrus linifolius;NA
490;Lathyrus palustris;Lathyrus;palustris;NA;FALSE;490;Lathyrus palustris;NA
491;Lathyrus pratensis;Lathyrus;pratensis;NA;FALSE;491;Lathyrus pratensis;NA
492;Lathyrus sp.;Lathyrus;sp.;NA;FALSE;492;Lathyrus sp.;NA
493;Leiocolea collaris;Leiocolea;collaris;NA;FALSE;493;Leiocolea collaris;NA
494;Lejeunea lamacerina;Lejeunea;lamacerina;NA;FALSE;494;Lejeunea lamacerina;NA
495;Lejeunea patens;Lejeunea;patens;NA;FALSE;495;Lejeunea patens;NA
496;Lemna minor;Lemna;minor;NA;FALSE;496;Lemna minor;NA
497;Lemna sp.;Lemna;sp.;NA;FALSE;497;Lemna sp.;NA
498;Lemna trisulca;Lemna;trisulca;NA;FALSE;498;Lemna trisulca;NA
499;Leontodon autumnalis;Leontodon;autumnalis;NA;FALSE;499;Leontodon autumnalis;NA
500;Leontodon hispidus;Leontodon;hispidus;NA;FALSE;500;Leontodon hispidus;NA
501;Leontodon saxatilis;Leontodon;saxatilis;NA;FALSE;501;Leontodon saxatilis;NA
502;Leontodon sp.;Leontodon;sp.;NA;FALSE;502;Leontodon sp.;NA
503;Lepidozia reptans;Lepidozia;reptans;NA;FALSE;503;Lepidozia reptans;NA
504;Leptodictyum riparium;Leptodictyum;riparium;NA;FALSE;504;Leptodictyum riparium;NA
505;Leucanthemum vulgare;Leucanthemum;vulgare;NA;FALSE;505;Leucanthemum vulgare;NA
506;Leucobryum glaucum;Leucobryum;glaucum;NA;FALSE;506;Leucobryum glaucum;NA
507;Linum catharticum;Linum;catharticum;NA;FALSE;507;Linum catharticum;NA
508;Listera ovata;Listera;ovata;NA;FALSE;508;Listera ovata;NA
509;Littorella uniflora;Littorella;uniflora;NA;FALSE;509;Littorella uniflora;NA
510;Lolium multiflorum;Lolium;multiflorum;NA;FALSE;510;Lolium multiflorum;NA
511;Lolium perenne;Lolium;perenne;NA;FALSE;511;Lolium perenne;NA
512;Lonicera periclymenum;Lonicera;periclymenum;NA;FALSE;512;Lonicera periclymenum;NA
513;Lophocolea bidentata;Lophocolea;bidentata;NA;FALSE;513;Lophocolea bidentata;NA
514;Lophocolea sp.;Lophocolea;sp.;NA;FALSE;514;Lophocolea sp.;NA
515;Lophozia incisa;Lophozia;incisa;NA;FALSE;515;Lophozia incisa;NA
516;Lophozia ventricosa;Lophozia;ventricosa;NA;FALSE;516;Lophozia ventricosa;NA
517;Lotus corniculatus;Lotus;corniculatus;NA;FALSE;517;Lotus corniculatus;NA
518;Lotus pedunculatus;Lotus;pedunculatus;NA;FALSE;518;Lotus pedunculatus;NA
519;Lunularia cruciata;Lunularia;cruciata;NA;FALSE;519;Lunularia cruciata;NA
520;Luzula campestris;Luzula;campestris;NA;FALSE;520;Luzula campestris;NA
521;Luzula multiflora;Luzula;multiflora;NA;FALSE;521;Luzula multiflora;NA
522;Luzula multiflora s. congesta;Luzula;multiflora s. congesta;NA;FALSE;522;Luzula multiflora s. congesta;NA
523;Luzula sp.;Luzula;sp.;NA;FALSE;523;Luzula sp.;NA
524;Luzula sylvatica;Luzula;sylvatica;NA;FALSE;524;Luzula sylvatica;NA
525;Lychnis flos-cuculi;Lychnis;flos-cuculi;NA;FALSE;525;Lychnis flos-cuculi;NA
526;Lycopus europaeus;Lycopus;europaeus;NA;FALSE;526;Lycopus europaeus;NA
527;Lysimachia nemorum;Lysimachia;nemorum;NA;FALSE;527;Lysimachia nemorum;NA
528;Lysimachia nummularia;Lysimachia;nummularia;NA;FALSE;528;Lysimachia nummularia;NA
529;Lysimachia vulgaris;Lysimachia;vulgaris;NA;FALSE;529;Lysimachia vulgaris;NA
530;Lythrum portula;Lythrum;portula;NA;FALSE;530;Lythrum portula;NA
531;Lythrum salicaria;Lythrum;salicaria;NA;FALSE;531;Lythrum salicaria;NA
532;Marchantia polymorpha s. polymorpha;Marchantia;polymorpha s. polymorpha;NA;FALSE;532;Marchantia polymorpha s. polymorpha;NA
533;Marsupella emarginata;Marsupella;emarginata;NA;FALSE;533;Marsupella emarginata;NA
534;Matricaria discoidea;Matricaria;discoidea;NA;FALSE;534;Matricaria discoidea;NA
535;Medicago lupulina;Medicago;lupulina;NA;FALSE;535;Medicago lupulina;NA
536;Mentha aquatica;Mentha;aquatica;NA;FALSE;536;Mentha aquatica;NA
537;Mentha sp.;Mentha;sp.;NA;FALSE;537;Mentha sp.;NA
538;Mentha x;Mentha;x;NA;FALSE;538;Mentha x;NA
539;Menyanthes trifoliata;Menyanthes;trifoliata;NA;FALSE;539;Menyanthes trifoliata;NA
540;Metzgeria furcata;Metzgeria;furcata;NA;FALSE;540;Metzgeria furcata;NA
541;Metzgeria leptoneura;Metzgeria;leptoneura;NA;FALSE;541;Metzgeria leptoneura;NA
542;Microbryum davallianum;Microbryum;davallianum;NA;FALSE;542;Microbryum davallianum;NA
543;Microbryum rectum;Microbryum;rectum;NA;FALSE;543;Microbryum rectum;NA
544;Milium effusum;Milium;effusum;NA;FALSE;544;Milium effusum;NA
545;Mnium hornum;Mnium;hornum;NA;FALSE;545;Mnium hornum;NA
546;Mnium sp.;Mnium;sp.;NA;FALSE;546;Mnium sp.;NA
547;Molinia caerulea;Molinia;caerulea;NA;FALSE;547;Molinia caerulea;NA
548;Montia fontana;Montia;fontana;NA;FALSE;548;Montia fontana;NA
549;Myosotis discolor;Myosotis;discolor;NA;FALSE;549;Myosotis discolor;NA
550;Myosotis laxa;Myosotis;laxa;NA;FALSE;550;Myosotis laxa;NA
551;Myosotis ramosissima;Myosotis;ramosissima;NA;FALSE;551;Myosotis ramosissima;NA
552;Myosotis scorpioides;Myosotis;scorpioides;NA;FALSE;552;Myosotis scorpioides;NA
553;Myosotis secunda;Myosotis;secunda;NA;FALSE;553;Myosotis secunda;NA
554;Myosotis sp.;Myosotis;sp.;NA;FALSE;554;Myosotis sp.;NA
555;Nardia sp.;Nardia;sp.;NA;FALSE;555;Nardia sp.;NA
556;Nardus stricta;Nardus;stricta;NA;FALSE;556;Nardus stricta;NA
557;Narthecium ossifragum;Narthecium;ossifragum;NA;FALSE;557;Narthecium ossifragum;NA
558;Neckera complanata;Neckera;complanata;NA;FALSE;558;Neckera complanata;NA
559;Neckera crispa;Neckera;crispa;NA;FALSE;559;Neckera crispa;NA
560;Neotinea maculata;Neotinea;maculata;NA;FALSE;560;Neotinea maculata;NA
561;Nostoc sp.;Nostoc;sp.;NA;FALSE;561;Nostoc sp.;NA
562;Odontites vernus;Odontites;vernus;NA;FALSE;562;Odontites vernus;NA
563;Odontoschisma sphagni;Odontoschisma;sphagni;NA;FALSE;563;Odontoschisma sphagni;NA
564;Oenanthe aquatica;Oenanthe;aquatica;NA;FALSE;564;Oenanthe aquatica;NA
565;Oenanthe crocata;Oenanthe;crocata;NA;FALSE;565;Oenanthe crocata;NA
566;Oenanthe fistulosa;Oenanthe;fistulosa;NA;FALSE;566;Oenanthe fistulosa;NA
567;Oenanthe lachenalii;Oenanthe;lachenalii;NA;FALSE;567;Oenanthe lachenalii;NA
568;Oenanthe sp.;Oenanthe;sp.;NA;FALSE;568;Oenanthe sp.;NA
569;Ononis repens;Ononis;repens;NA;FALSE;569;Ononis repens;NA
570;Ophioglossum azoricum;Ophioglossum;azoricum;NA;FALSE;570;Ophioglossum azoricum;NA
571;Ophioglossum vulgatum;Ophioglossum;vulgatum;NA;FALSE;571;Ophioglossum vulgatum;NA
572;Ophrys apifera;Ophrys;apifera;NA;FALSE;572;Ophrys apifera;NA
573;Ophrys sp.;Ophrys;sp.;NA;FALSE;573;Ophrys sp.;NA
574;Orchis mascula;Orchis;mascula;NA;FALSE;574;Orchis mascula;NA
575;Orchis morio;Orchis;morio;NA;FALSE;575;Orchis morio;NA
576;Orchis sp.;Orchis;sp.;NA;FALSE;576;Orchis sp.;NA
577;Oreopteris limbosperma;Oreopteris;limbosperma;NA;FALSE;577;Oreopteris limbosperma;NA
578;Origanum vulgare;Origanum;vulgare;NA;FALSE;578;Origanum vulgare;NA
579;Orobanche minor;Orobanche;minor;NA;FALSE;579;Orobanche minor;NA
580;Orobanche sp.;Orobanche;sp.;NA;FALSE;580;Orobanche sp.;NA
581;Orthothecium rufescens;Orthothecium;rufescens;NA;FALSE;581;Orthothecium rufescens;NA
582;Orthotrichum affine;Orthotrichum;affine;NA;FALSE;582;Orthotrichum affine;NA
583;Orthotrichum anomalum;Orthotrichum;anomalum;NA;FALSE;583;Orthotrichum anomalum;NA
584;Orthotrichum cupulatum;Orthotrichum;cupulatum;NA;FALSE;584;Orthotrichum cupulatum;NA
585;Osmunda regalis;Osmunda;regalis;NA;FALSE;585;Osmunda regalis;NA
586;Oxalis acetosella;Oxalis;acetosella;NA;FALSE;586;Oxalis acetosella;NA
587;Pallavicinia lyellii;Pallavicinia;lyellii;NA;FALSE;587;Pallavicinia lyellii;NA
588;Palustriella commutata;Palustriella;commutata;NA;FALSE;588;Palustriella commutata;NA
589;Palustriella commutata;Palustriella;commutata;NA;FALSE;589;Palustriella commutata;NA
