RELEVE_ID,SPECIES_NAME,GRID_NO,DOMIN
51,Anthoxanthum odoratum,13,2
51,Briza media,13,1
51,Carex acutiformis,13,0.1
51,Carex flacca,13,2
51,Centaurea nigra,13,1
51,Cirsium dissectum,13,8
51,Dactylis glomerata,13,2
51,Equisetum arvense,13,1
51,Filipendula ulmaria,13,6
51,Holcus lanatus,13,1
51,Ophioglossum vulgatum,13,0.1
51,Plantago lanceolata,13,4
51,Poa pratensis,13,2
51,Ranunculus acris,13,2
51,Ranunculus repens,13,2
51,Trifolium repens,13,2
51,Valeriana officinalis,13,1
52,Filipendula ulmaria,14,6
52,Anthoxanthum odoratum,14,4
52,Carex flacca,14,5
52,Centaurea nigra,14,3
52,Cirsium palustre,14,0.1
52,Equisetum arvense,14,4
52,Holcus lanatus,14,1
52,Juncus acutiflorus,14,4
52,Ophioglossum vulgatum,14,1
52,Plantago lanceolata,14,4
52,Ranunculus acris,14,2
52,Taraxacum officinale,14,1
52,Thalictrum flavum,14,4
52,Bromus hordeaceus,14,0.1
52,Silene flos-cuculi,14,0.1
53,Filipendula ulmaria,15,3
53,Anthoxanthum odoratum,15,2
53,Carex flacca,15,9
53,Carex nigra,15,0.1
53,Cirsium dissectum,15,4
53,Deschampsia cespitosa,15,0.1
53,Equisetum arvense,15,3
53,Equisetum palustre,15,0.1
53,Holcus lanatus,15,0.1
53,Plantago lanceolata,15,4
53,Ranunculus repens,15,0.1
53,Succisa pratensis,15,1
53,Taraxacum officinale,15,1
53,Thalictrum flavum,15,1
53,Ranunculus flammula,15,1
54,Filipendula ulmaria,16,4
54,Arrhenatherum elatius,16,0.1
54,Caltha palustris,16,0.1
54,Carex flacca,16,7
54,Carex nigra,16,1
54,Centaurea nigra,16,2
54,Equisetum arvense,16,2
54,Iris pseudacorus,16,2
54,Ophioglossum vulgatum,16,0.1
54,Plantago lanceolata,16,1
54,Thalictrum flavum,16,2
54,Phragmites australis,16,5
54,Ranunculus flammula,16,1
55,Filipendula ulmaria,17,5
55,Anthoxanthum odoratum,17,3
55,Briza media,17,0.1
55,Carex flacca,17,8
55,Carex nigra,17,1
55,Centaurea nigra,17,0.1
55,Cirsium dissectum,17,6
55,Equisetum arvense,17,1
55,Holcus lanatus,17,0.1
55,Ophioglossum vulgatum,17,4
55,Plantago lanceolata,17,2
55,Ranunculus repens,17,1
55,Trifolium repens,17,0.1
55,Phragmites australis,17,1
56,Filipendula ulmaria,18,7
56,Anthoxanthum odoratum,18,4
