Latitude,Longitude,Grid,Releve
53.2012610,-7.0844870,1,1
53.2012048,-7.0846622,1,2
53.2006720,-7.0843370,2,3
53.2004842,-7.0843708,2,4
53.2012008,-7.0834173,3,5
53.1999130,-7.0828567,3,6
53.1990366,-7.0823266,4,7
53.1982027,-7.0819961,5,8
53.1977092,-7.0820108,6,9
53.1973262,-7.0828450,6,10
